Time (monthly),Surface-mass balance (SMB) (Gt/month) from MAR3.5,Discharge (D) (Gt/month) from InSAR,Total Mass Balance (MB) (Mb=SMB+D) (Gt/month),Average MB for 1961-1990 period,MB Anamoalies with respect to 1961-1990 period,Monthly Cummulative MB,Time (monthly),Time (yearly),Yearly Cumulative MB Gt (Averaged over the months),Sea level Equivalence (Gt * 1km^3/361*10^3 km^2 = SLE in meters),Yearly Cumulative MB in SLE (m),Yearly Cumulative MB in SLE (mm),Greenland error from Sasgen et al 2012 in Gt/yr,Error in m,,,,,,,,,,
1958.042,58.89513776,-34.66931,24.22582776,-0.7267918450,24.9526196050,24.9526196,1958.042,1958,-53.381124,3.61E+05,0.00014787,0.14787015,30,8.31E-05,,,,,,,,,,
1958.125,52.913307,-34.65458,18.258727,,18.9855188450,43.93813845,1958.125,1959,-123.2672109,,0.00034146,0.34146042,,,,,,,,,,,,
1958.208,59.35905875,-34.63986,24.71919875,,25.4459905950,69.38412904,1958.208,1960,-147.3141055,,0.00040807,0.40807231,,,,,,,,,,,,
1958.292,65.79796746,-34.62514,31.17282746,,31.8996193050,101.2837483,1958.292,1961,-239.9204921,,0.00066460,0.66459970,,,,,,,,,,,,
1958.375,16.20640832,-34.61042,-18.40401168,,-17.6772198350,83.60652851,1958.375,1962,-335.2071927,,0.00092855,0.92855178,,,,,,,,,,,,
1958.458,-38.55786422,-34.59569,-73.15355422,,-72.4267623750,11.17976614,1958.458,1963,-380.0029211,,0.00105264,1.05263967,,,,,,,,,,,,
1958.542,-149.8235159,-34.58097,-184.4044859,,-183.6776940550,-172.4979279,1958.542,1964,-287.2888112,,0.00079581,0.79581388,,,,,,,,,,,,
1958.625,-50.42533735,-34.56625,-84.99158735,,-84.2647955050,-256.7627234,1958.625,1965,-254.9448186,,0.00070622,0.70621833,,,,,,,,,,,,
1958.708,86.03499956,-34.55153,51.48346956,,52.2102614050,-204.552462,1958.708,1966,-443.5086227,,0.00122856,1.22855574,,,,,,,,,,,,
1958.792,81.91845868,-34.53681,47.38164868,,48.1084405250,-156.4440215,1958.792,1967,-475.308306,,0.00131664,1.31664351,,,,,,,,,,,,
