Year,RCP85,RCP6,RCP45,RCP3PD
2010,114.922902,114.895818,114.895818,114.895818
2015,147.0822155,131.4836314,135.5785398,140.0079388
2020,167.906082,133.9554335,143.5772625,145.8050357
2025,187.3718634,136.3551167,151.9095596,144.1534361
2030,208.5660321,141.9527645,164.1485731,132.0183997
2035,230.5047243,148.9590869,172.6658784,116.3393132
2040,260.3327605,164.4824698,181.3263457,100.2273346
2045,290.4973481,178.0205074,186.1943499,84.84704901
2050,326.795121,195.8343817,190.4324202,77.04453502
2055,363.329968,213.2968559,189.4070447,67.33850159
2060,402.411984,233.2193708,181.9958155,59.11114283
2065,440.933172,253.4212731,172.607607,49.98962884
2070,474.8892729,273.8134042,158.5380304,39.83516937
2075,510.5738545,295.3944197,144.0220823,33.19089347
2080,539.8633911,310.8962688,122.9977666,28.5001808
2085,572.6732758,319.3809544,112.4100088,26.33709363
2090,600.2940622,304.060193,112.9563773,22.01297053
2095,631.2355737,297.5166929,115.5721687,20.68916976
2100,657.1401727,299.1625783,114.9683696,17.82322752
