% Boden, T.A., G. Marland, and R.J. Andres. 2009. Global, Regional, and
% National Fossil-Fuel CO2 Emissions. Carbon Dioxide Information Analysis
% Center, Oak Ridge National Laboratory, U.S. Department of Energy, Oak Ridge,
% Tenn., U.S.A. doi 10.3334/CDIAC/00001
% data from http://cdiac.ornl.gov/ftp/ndp030/global.1751_2006.ems
% 2007-2008 values obtained by linear extrapolation of 1997-2006 trend
%"Year" "Emissions"
1850 54
1851 54
1852 57
1853 59
1854 69
1855 71
1856 76
1857 77
1858 78
1859 83
1860 91
1861 95
1862 97
1863 104
1864 112
1865 119
1866 122
1867 130
1868 135
1869 142
1870 147
1871 156
1872 173
1873 184
1874 174
1875 188
1876 191
1877 194
1878 196
1879 210
1880 236
1881 243
1882 256
1883 272
1884 275
1885 277
1886 281
1887 295
1888 327
1889 327
1890 356
1891 372
1892 374
1893 370
1894 383
1895 406
1896 419
1897 440
1898 465
1899 507
1900 534
1901 552
1902 566
1903 617
1904 624
1905 663
1906 707
1907 784
1908 750
1909 785
1910 819
1911 836
1912 879
1913 943
1914 850
1915 838
1916 901
1917 955
1918 936
1919 806
1920 932
1921 803
1922 845
1923 970
1924 963
1925 975
1926 983
1927 1062
1928 1065
1929 1145
1930 1053
1931 940
1932 847
1933 893
1934 973
1935 1027
1936 1130
1937 1209
1938 1142
1939 1192
1940 1299
1941 1334
1942 1342
1943 1391
1944 1383
1945 1160
1946 1238
1947 1392
1948 1469
1949 1419
1950 1630
1951 1768
1952 1796
1953 1841
1954 1865
1955 2043
1956 2178
1957 2270
1958 2330
1959 2462
1960 2577
1961 2594
1962 2700
1963 2848
1964 3008
1965 3145
1966 3305
1967 3411
1968 3588
1969 3800
1970 4076
1971 4231
1972 4399
1973 4635
1974 4644
1975 4615
1976 4883
1977 5029
1978 5105
1979 5387
1980 5332
1981 5168
1982 5127
1983 5110
1984 5290
1985 5444
1986 5610
1987 5753
1988 5964
1989 6089
1990 6144
1991 6235
1992 6118
1993 6124
1994 6242
1995 6372
1996 6510
1997 6619
1998 6588
1999 6569
2000 6735
2001 6896
2002 6949
2003 7286
2004 7672
2005 7971
2006 8230
2007 8198.19999999995
2008 8388.50909090904
2009 8578.81818181818
