"year" "temperature"
1850 -0.443
1851 -0.288
1852 -0.289
1853 -0.333
1854 -0.304
1855 -0.317
1856 -0.407
1857 -0.501
1858 -0.511
1859 -0.342
1860 -0.365
1861 -0.415
1862 -0.537
1863 -0.314
1864 -0.504
1865 -0.285
1866 -0.284
1867 -0.311
1868 -0.262
1869 -0.292
1870 -0.280
1871 -0.330
1872 -0.257
1873 -0.331
1874 -0.399
1875 -0.415
1876 -0.400
1877 -0.089
1878 0.028
1879 -0.263
1880 -0.258
1881 -0.243
1882 -0.247
1883 -0.299
1884 -0.384
1885 -0.362
1886 -0.275
1887 -0.386
1888 -0.337
1889 -0.193
1890 -0.432
1891 -0.381
1892 -0.487
1893 -0.506
1894 -0.445
1895 -0.421
1896 -0.212
1897 -0.245
1898 -0.435
1899 -0.317
1900 -0.225
1901 -0.303
1902 -0.433
1903 -0.510
1904 -0.555
1905 -0.412
1906 -0.330
1907 -0.507
1908 -0.559
1909 -0.565
1910 -0.547
1911 -0.582
1912 -0.492
1913 -0.489
1914 -0.306
1915 -0.214
1916 -0.435
1917 -0.507
1918 -0.388
1919 -0.330
1920 -0.314
1921 -0.260
1922 -0.382
1923 -0.347
1924 -0.362
1925 -0.274
1926 -0.162
1927 -0.254
1928 -0.255
1929 -0.376
1930 -0.164
1931 -0.122
1932 -0.155
1933 -0.297
1934 -0.159
1935 -0.183
1936 -0.152
1937 -0.034
1938 0.009
1939 0.001
1940 0.020
1941 0.078
1942 -0.031
1943 -0.029
1944 0.121
1945 -0.007
1946 -0.204
1947 -0.198
1948 -0.204
1949 -0.211
1950 -0.310
1951 -0.169
1952 -0.076
1953 -0.029
1954 -0.252
1955 -0.282
1956 -0.348
1957 -0.075
1958 -0.011
1959 -0.073
1960 -0.125
1961 -0.024
1962 -0.022
1963 0.001
1964 -0.296
1965 -0.216
1966 -0.148
1967 -0.149
1968 -0.159
1969 -0.011
1970 -0.068
1971 -0.190
1972 -0.058
1973 0.077
1974 -0.215
1975 -0.170
1976 -0.255
1977 0.017
1978 -0.065
1979 0.049
1980 0.076
1981 0.120
1982 0.010
1983 0.177
1984 -0.021
1985 -0.038
1986 0.030
1987 0.179
1988 0.180
1989 0.102
1990 0.255
1991 0.213
1992 0.062
1993 0.106
1994 0.172
1995 0.275
1996 0.137
1997 0.352
1998 0.548
1999 0.297
2000 0.271
2001 0.408
2002 0.465
2003 0.475
2004 0.447
2005 0.482
2006 0.425
2007 0.402
2008 0.325
2009 0.443
2010 0.475
