date	time	sl
19700122	18:00	-0.541
19700122	19:00	-0.462
19700122	20:00	-0.38
19700122	21:00	-0.298
19700122	22:00	-0.234
19700122	23:00	-0.2
19700123	0:00	-0.191
19700123	1:00	-0.212
19700123	2:00	-0.246
19700123	3:00	-0.282
19700123	4:00	-0.298
19700123	5:00	-0.285
19700123	6:00	-0.249
19700123	7:00	-0.182
19700123	8:00	-0.118
19700123	9:00	-0.069
19700123	10:00	-0.026
19700123	11:00	-0.014
19700123	12:00	-0.029
19700123	13:00	-0.069
19700123	14:00	-0.121
19700123	15:00	-0.179
19700123	16:00	-0.209
19700123	17:00	-0.206
19700123	18:00	-0.16
19700123	19:00	-0.084
19700123	20:00	-0.017
19700123	21:00	0.053
19700123	22:00	0.099
19700123	23:00	0.129
19700124	0:00	0.12
19700124	1:00	0.08
19700124	2:00	0.01
19700124	3:00	-0.06
19700124	4:00	-0.136
19700124	5:00	-0.191
19700124	6:00	-0.218
19700124	7:00	-0.224
19700124	8:00	-0.209
19700124	9:00	-0.185
19700124	10:00	-0.182
19700124	11:00	-0.191
19700124	12:00	-0.227
19700124	13:00	-0.27
19700124	14:00	-0.334
19700124	15:00	-0.401
19700124	16:00	-0.453
19700124	17:00	-0.477
19700124	18:00	-0.477
19700124	19:00	-0.419
19700124	20:00	-0.346
19700124	21:00	-0.255
19700124	22:00	-0.182
19700124	23:00	-0.118
19700125	0:00	-0.075
19700125	1:00	-0.066
19700125	2:00	-0.087
19700125	3:00	-0.115
19700125	4:00	-0.136
19700125	5:00	-0.139
19700125	6:00	-0.124
19700125	7:00	-0.078
19700125	8:00	0.01
19700125	9:00	0.093
19700125	10:00	0.154
19700125	11:00	0.193
19700125	12:00	0.211
19700125	13:00	0.202
19700125	14:00	0.16
19700125	15:00	0.099
19700125	16:00	0.035
19700125	17:00	-0.011
19700125	18:00	-0.032
19700125	19:00	-0.02
19700125	20:00	0.026
19700125	21:00	0.077
19700125	22:00	0.117
19700125	23:00	0.16
19700126	0:00	0.16
19700126	1:00	0.138
19700126	2:00	0.077
19700126	3:00	0.019
19700126	4:00	-0.054
19700126	5:00	-0.124
19700126	6:00	-0.185
19700126	7:00	-0.206
19700126	8:00	-0.194
19700126	9:00	-0.163
19700126	10:00	-0.118
19700126	11:00	-0.102
19700126	12:00	-0.069
19700126	13:00	-0.081
19700126	14:00	-0.118
19700126	15:00	-0.17
19700126	16:00	-0.234
19700126	17:00	-0.279
19700126	18:00	-0.346
19700126	19:00	-0.346
19700126	20:00	-0.331
19700126	21:00	-0.243
19700126	22:00	-0.191
19700126	23:00	-0.124
19700127	0:00	-0.093
19700127	1:00	-0.096
19700127	2:00	-0.096
19700127	3:00	-0.148
19700127	4:00	-0.203
19700127	5:00	-0.261
19700127	6:00	-0.31
19700127	7:00	-0.301
19700127	8:00	-0.285
19700127	9:00	-0.212
19700127	10:00	-0.136
19700127	11:00	-0.066
19700127	12:00	-0.008
19700127	13:00	0.035
19700127	14:00	0.029
19700127	15:00	0.004
19700127	16:00	-0.032
19700127	17:00	-0.078
19700127	18:00	-0.106
19700127	19:00	-0.099
19700127	20:00	-0.075
19700127	21:00	-0.014
19700127	22:00	0.053
19700127	23:00	0.111
19700128	0:00	0.147
19700128	1:00	0.172
19700128	2:00	0.144
19700128	3:00	0.096
19700128	4:00	0.044
19700128	5:00	-0.011
19700128	6:00	-0.06
19700128	7:00	-0.099
19700128	8:00	-0.096
19700128	9:00	-0.048
19700128	10:00	0.013
19700128	11:00	0.074
19700128	12:00	0.123
19700128	13:00	0.157
19700128	14:00	0.16
19700128	15:00	0.132
19700128	16:00	0.071
19700128	17:00	0.026
19700128	18:00	-0.029
19700128	19:00	-0.078
19700128	20:00	-0.075
19700128	21:00	-0.057
19700128	22:00	-0.017
19700128	23:00	0.032
19700129	0:00	0.074
19700129	1:00	0.114
19700129	2:00	0.123
19700129	3:00	0.09
19700129	4:00	0.038
19700129	5:00	-0.005
19700129	6:00	-0.045
19700129	7:00	-0.087
19700129	8:00	-0.087
19700129	9:00	-0.06
19700129	10:00	0.01
19700129	11:00	0.099
19700129	12:00	0.138
19700129	13:00	0.211
19700129	14:00	0.236
19700129	15:00	0.266
