date	time	sl
20160101	0:00	-0.023
20160101	1:00	-0.04
20160101	2:00	-0.007
20160101	3:00	0.111
20160101	4:00	0.242
20160101	5:00	0.391
20160101	6:00	0.492
20160101	7:00	0.549
20160101	8:00	0.492
20160101	9:00	0.411
20160101	10:00	0.27
20160101	11:00	0.125
20160101	12:00	0.024
20160101	13:00	-0.023
20160101	14:00	0.029
20160101	15:00	0.107
20160101	16:00	0.215
20160101	17:00	0.347
20160101	18:00	0.417
20160101	19:00	0.433
20160101	20:00	0.369
20160101	21:00	0.249
20160101	22:00	0.123
20160101	23:00	-0.014
20160102	0:00	-0.132
20160102	1:00	-0.194
20160102	2:00	-0.203
20160102	3:00	-0.117
20160102	4:00	-0.009
20160102	5:00	0.156
20160102	6:00	0.319
20160102	7:00	0.411
20160102	8:00	0.439
20160102	9:00	0.377
20160102	10:00	0.294
20160102	11:00	0.158
20160102	12:00	0.016
20160102	13:00	-0.081
20160102	14:00	-0.099
20160102	15:00	-0.079
20160102	16:00	-0.008
20160102	17:00	0.083
20160102	18:00	0.189
20160102	19:00	0.252
20160102	20:00	0.255
20160102	21:00	0.201
20160102	22:00	0.092
20160102	23:00	-0.027
20160103	0:00	-0.143
20160103	1:00	-0.248
20160103	2:00	-0.294
20160103	3:00	-0.303
20160103	4:00	-0.243
20160103	5:00	-0.12
20160103	6:00	0.023
20160103	7:00	0.14
20160103	8:00	0.192
20160103	9:00	0.21
20160103	10:00	0.17
20160103	11:00	0.081
20160103	12:00	-0.058
20160103	13:00	-0.173
20160103	14:00	-0.239
20160103	15:00	-0.239
20160103	16:00	-0.199
20160103	17:00	-0.123
20160103	18:00	-0.023
20160103	19:00	0.092
20160103	20:00	0.164
20160103	21:00	0.192
20160103	22:00	0.129
20160103	23:00	0.045
20160104	0:00	-0.06
20160104	1:00	-0.162
20160104	2:00	-0.25
20160104	3:00	-0.263
20160104	4:00	-0.222
20160104	5:00	0.021
20160104	6:00	0.254
20160104	7:00	0.387
20160104	8:00	0.474
20160104	9:00	0.526
20160104	10:00	0.506
20160104	11:00	0.452
20160104	12:00	0.335
20160104	13:00	0.216
20160104	14:00	0.088
20160104	15:00	0.008
20160104	16:00	0.009
20160104	17:00	0.035
20160104	18:00	0.138
20160104	19:00	0.223
20160104	20:00	0.328
20160104	21:00	0.366
20160104	22:00	0.377
20160104	23:00	0.36
20160105	0:00	0.257
20160105	1:00	0.17
20160105	2:00	0.086
20160105	3:00	0.001
20160105	4:00	-0.043
20160105	5:00	0.013
20160105	6:00	0.131
20160105	7:00	0.265
20160105	8:00	0.417
20160105	9:00	0.558
20160105	10:00	0.608
20160105	11:00	0.613
20160105	12:00	0.556
20160105	13:00	0.438
20160105	14:00	0.32
20160105	15:00	0.171
20160105	16:00	0.045
20160105	17:00	-0.038
20160105	18:00	-0.02
20160105	19:00	0.059
20160105	20:00	0.149
20160105	21:00	0.255
20160105	22:00	0.332
20160105	23:00	0.348
20160106	0:00	0.306
20160106	1:00	0.219
20160106	2:00	0.104
20160106	3:00	-0.016
20160106	4:00	-0.125
20160106	5:00	-0.15
20160106	6:00	-0.071
20160106	7:00	0.069
20160106	8:00	0.231
20160106	9:00	0.394
20160106	10:00	0.53
20160106	11:00	0.591
20160106	12:00	0.579
20160106	13:00	0.522
20160106	14:00	0.4
20160106	15:00	0.244
20160106	16:00	0.094
20160106	17:00	0.004
20160106	18:00	-0.011
20160106	19:00	0.034
20160106	20:00	0.148
20160106	21:00	0.274
20160106	22:00	0.384
20160106	23:00	0.45
20160107	0:00	0.436
20160107	1:00	0.353
20160107	2:00	0.204
20160107	3:00	0.05
20160107	4:00	-0.087
20160107	5:00	-0.142
20160107	6:00	-0.118
20160107	7:00	-0.046
20160107	8:00	0.082
20160107	9:00	0.268
20160107	10:00	0.443
20160107	11:00	0.557
20160107	12:00	0.554
20160107	13:00	0.513
20160107	14:00	0.411
20160107	15:00	0.243
20160107	16:00	0.056
20160107	17:00	-0.091
20160107	18:00	-0.16
20160107	19:00	-0.12
20160107	20:00	-0.046
20160107	21:00	0.076
20160107	22:00	0.263
20160107	23:00	0.388
20160108	0:00	0.455
20160108	1:00	0.435
20160108	2:00	0.341
20160108	3:00	0.171
20160108	4:00	-0.006
20160108	5:00	-0.139
20160108	6:00	-0.201
20160108	7:00	-0.173
20160108	8:00	-0.057
20160108	9:00	0.118
20160108	10:00	0.328
20160108	11:00	0.49
20160108	12:00	0.59
20160108	13:00	0.622
20160108	14:00	0.582
20160108	15:00	0.429
20160108	16:00	0.239
20160108	17:00	0.054
20160108	18:00	-0.106
20160108	19:00	-0.177
20160108	20:00	-0.151
20160108	21:00	-0.013
20160108	22:00	0.179
20160108	23:00	0.364
20160109	0:00	0.507
20160109	1:00	0.556
20160109	2:00	0.51
20160109	3:00	0.403
20160109	4:00	0.231
20160109	5:00	0.058
20160109	6:00	-0.061
20160109	7:00	-0.119
20160109	8:00	-0.073
20160109	9:00	0.088
20160109	10:00	0.324
20160109	11:00	0.534
20160109	12:00	0.704
20160109	13:00	0.783
20160109	14:00	0.791
20160109	15:00	0.707
20160109	16:00	0.553
20160109	17:00	0.351
20160109	18:00	0.156
20160109	19:00	0.03
20160109	20:00	-0.007
20160109	21:00	0.072
20160109	22:00	0.225
20160109	23:00	0.425
20160110	0:00	0.619
20160110	1:00	0.73
20160110	2:00	0.754
20160110	3:00	0.681
20160110	4:00	0.536
20160110	5:00	0.345
20160110	6:00	0.175
20160110	7:00	0.04
20160110	8:00	-0.005
20160110	9:00	0.071
20160110	10:00	0.254
20160110	11:00	0.488
20160110	12:00	0.641
20160110	13:00	0.814
20160110	14:00	0.875
20160110	15:00	0.836
20160110	16:00	0.705
20160110	17:00	0.542
20160110	18:00	0.295
20160110	19:00	0.081
20160110	20:00	-0.063
20160110	21:00	-0.061
20160110	22:00	0.055
20160110	23:00	0.21
20160111	0:00	0.375
20160111	1:00	0.565
20160111	2:00	0.64
20160111	3:00	0.623
20160111	4:00	0.509
